t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8
3.94013,-0.920605025673483,0.792276712702985,1.47356594990799,0.995506306661959,0.087038170124899,0.035485338561676,0.011503982921343,0.353083118595554,-0.913387389342907,-0.105297716595294,-0.627048591410077,0.087754251507586,0.043892478962575,0.120357557918519,-0.266112295448673,0.037407781819327,-0.000512551666585,-0.003666200078837,-1.43856959891899E-07,2.54999903836703,2.55000002467412,2.5500000185864,2.55000002195526,0.972345591404281,0.001468068461918,0.090000003208705,0.97234558222064,0.001468068461907,0.045049513318274,0.972345573431451,0.001468068461882,0.044959392348607,0.972345565774275,0.001468068461788,0.020721680434012,0.972345591774499,0.001468068439652,0.089999951553512,0.972345582400975,0.001468068439652,0.045049513307564,0.972345573236276,0.001468068439652,0.044959392340716,0.972345564489228,0.001468068439652,0.020721680433439,0.972345556995131,0.001468068439652,0.043975449661103
4.12775,-0.909675540937959,0.764111899021103,1.47051006472024,0.996225801290819,0.07767846710752,0.036623458183456,0.012606801310487,0.375665205624183,-0.963316709272099,-0.098279081461771,-0.627144758917475,0.087066380710966,0.043892451971412,0.12400843885377,-0.235677503660171,0.041882637592429,-0.000507676211669,-0.003667607716955,-5.32555558873784E-08,2.5499996625909,2.55000002459926,2.55000001827463,2.55000002264231,0.97084629932205,0.001499292082231,0.090000003473111,0.970846290138421,0.001499292082219,0.045059443998976,0.970846281349258,0.001499292082193,0.044952603893445,0.970846273692178,0.001499292082097,0.02482391014438,0.970846299715167,0.001499292059332,0.08999995253841,0.970846290341643,0.001499292059332,0.045059443987611,0.970846281176944,0.001499292059332,0.044952603885473,0.970846272429896,0.001499292059332,0.02482391014348,0.9708462649358,0.001499292059332,0.043968947871006
4.31538,-0.898058263232728,0.734534814498779,1.46767760122189,0.996855494193499,0.068310423716124,0.037747959487642,0.013707727775767,0.398932289195087,-1.00753570133529,-0.090420851505485,-0.627240011667635,0.086378245806241,0.043892441979339,0.127540517900452,-0.205149878151027,0.045783761448688,-0.000503398387214,-0.00366841307255,-2.65053728053601E-08,2.54999984733226,2.5500000245083,2.550000017947,2.55000002311689,0.969313091828805,0.001533207493245,0.090000003743767,0.969313082645188,0.001533207493233,0.045070960599927,0.969313073856051,0.001533207493207,0.044945114581623,0.96931306619907,0.001533207493108,0.028641650717736,0.969313092245488,0.00153320746968,0.089999953619613,0.969313082871964,0.00153320746968,0.04507096058781,0.969313073707265,0.00153320746968,0.044945114573571,0.969313064960217,0.00153320746968,0.028641650716458,0.96931305746612,0.00153320746968,0.043964616204043
4.503,-0.88573297639454,0.703717035485948,1.46509213328153,0.997395325652383,0.05893491234996,0.038858729534753,0.014806760290836,0.422862079103703,-1.04602694760547,-0.081830673178403,-0.627334461790973,0.085689959796672,0.043892437006268,0.130952500971484,-0.174540623543978,0.049109774531027,-0.000499268698456,-0.003669065522689,-1.56178305837532E-08,2.54999992281936,2.55000002439699,2.55000001759209,2.55000002345862,0.967743196835135,0.00156989499367,0.090000004018474,0.96774318765153,0.001569894993658,0.045084272698239,0.96774317886242,0.001569894993631,0.044936919877495,0.967743171205541,0.001569894993529,0.03192900330112,0.967743197276086,0.001569894969402,0.089999954784118,0.967743187902562,0.001569894969402,0.045084272685254,0.967743178737863,0.001569894969402,0.044936919869362,0.967743169990814,0.001569894969402,0.031929003299468,0.967743162496718,0.001569894969402,0.043962788967365
4.69063,-0.872680136630504,0.67183062934927,1.46277400139445,0.997845244233889,0.049552805151104,0.039955658639951,0.015903897081834,0.447432042342377,-1.07877513242299,-0.072616451640552,-0.627428137081451,0.085001551371144,0.043892434075973,0.134243136922602,-0.143860964860242,0.051859468433141,-0.000495190640928,-0.003669661466346,-1.02990524997028E-08,2.54999995992243,2.55000002425953,2.55000001719641,2.5500000237125,0.966133753422153,0.001609443412982,0.090000004295169,0.966133744238561,0.001609443412969,0.045099630226875,0.966133735449479,0.001609443412941,0.044928020757297,0.966133727792706,0.001609443412836,0.034591308543681,0.966133753888114,0.001609443387972,0.089999956019031,0.96613374451459,0.001609443387972,0.045099630212885,0.966133735349891,0.001609443387972,0.044928020749078,0.966133726602843,0.001609443387972,0.034591308541695,0.966133719108746,0.001609443387972,0.043963756221614
4.87825,-0.858880879680348,0.639048091346313,1.46074030540118,0.998205206737907,0.040164974697384,0.041038639620218,0.016999136603904,0.472619411157508,-1.10576704622283,-0.062886318779195,-0.627521047226377,0.084313031131686,0.043892432143613,0.137411219102755,-0.113122150953722,0.054031838427103,-0.000491134421963,-0.003670230615097,-7.37750544716436E-09,2.54999998049535,2.55000002408777,2.55000001674385,2.5500000239056,0.964481803438696,0.001651949983457,0.09000000457195,0.964481794255117,0.001651949983444,0.045117332349845,0.964481785466064,0.001651949983415,0.044918426746739,0.964481777809398,0.001651949983307,0.036668061104555,0.964481803930451,0.001651949957663,0.089999957311704,0.964481794556927,0.001651949957663,0.045117332334682,0.964481785392228,0.001651949957663,0.044918426738429,0.964481776645179,0.001651949957663,0.036668061102286,0.964481769151083,0.001651949957663,0.04396774802257
5.06588,-0.844317027733509,0.60554228137405,1.45900489825868,0.998475178188904,0.030772294099554,0.042107567628485,0.018092477529467,0.498401191397591,-1.12699159000621,-0.052748594993676,-0.627613196323213,0.083624404105692,0.043892430759408,0.140455585863729,-0.082335451758993,0.055626089358861,-0.000487088584354,-0.003670784356702,-5.63887790138463E-09,2.54999999291728,2.55000002387007,2.55000001621468,2.55000002405502,0.962784283217052,0.001697520221643,0.090000004847077,0.962784274033487,0.00169752022163,0.045137739070798,0.962784265244463,0.0016975202216,0.044908159666417,0.962784257587909,0.001697520221489,0.038262933954454,0.962784283735432,0.001697520195019,0.089999958649849,0.962784274361907,0.001697520195019,0.045137739054258,0.962784265197209,0.001697520195019,0.044908159658008,0.96278425645016,0.001697520195019,0.038262933951942,0.962784248956064,0.001697520195019,0.04397492147474
5.2535,-0.828971096094532,0.571486360590718,1.45757838097475,0.998655131835017,0.021375636977669,0.043162340106398,0.019183918738548,0.524754170956872,-1.14243977929584,-0.042311749874116,-0.62770458631976,0.082935673183929,0.043892429701414,0.143375120967398,-0.051512154530944,0.05664163730644,-0.000483047999788,-0.003671327748763,-4.54498526237889E-09,2.55000000090985,2.5500000235894,2.55000001558398,2.55000002417203,0.961038015411865,0.001746267805187,0.090000005118983,0.961038006228314,0.001746267805173,0.045161286478617,0.961037997439321,0.001746267805143,0.044897258215135,0.961037989782882,0.001746267805028,0.039487052101072,0.961038015957749,0.001746267777683,0.089999960021633,0.961038006584225,0.001746267777683,0.04516128646045,0.961037997419526,0.001746267777683,0.044897258206615,0.961037988672478,0.001746267777683,0.039487052098344,0.961037981178381,0.001746267777683,0.043985351960297
5.44113,-0.812826299594054,0.537053727929524,1.45646809872658,0.99874504914896,0.011975877402381,0.044202856771263,0.020273459309619,0.551654928295416,-1.15210474738565,-0.031684362569,-0.62779521820162,0.08224684030823,0.043892428848661,0.14616875397607,-0.02066355983577,0.057078110221912,-0.000479010083036,-0.003671863290724,-3.83061958686537E-09,2.55000000631202,2.55000002321999,2.55000001481917,2.55000002426426,0.959239700985623,0.001798314426242,0.090000005386274,0.959239691802086,0.001798314426228,0.04518850688499,0.959239683013125,0.001798314426196,0.044885783516392,0.959239675356804,0.001798314426077,0.040434067342308,0.959239701559946,0.001798314397803,0.089999961415752,0.959239692186422,0.001798314397803,0.045188506864882,0.959239683021723,0.001798314397803,0.044885783507747,0.959239674274675,0.001798314397803,0.040434067339376,0.959239666780578,0.001798314397803,0.043999029527726
5.62875,-0.795866558743107,0.502417956526128,1.45567813817029,0.998744919829121,0.002573889823583,0.045229019615124,0.02136109851056,0.579079841032415,-1.15598174783833,-0.020975082032306,-0.627885092469341,0.081557906951469,0.043892428129941,0.148835460632341,0.010199022538395,0.056935348224736,-0.000474973376956,-0.003672392319834,-3.35383420272467E-09,2.55000001010938,2.55000002272147,2.55000001387614,2.55000002433702,0.957385911389714,0.001853789595909,0.090000005647732,0.957385902206192,0.001853789595894,0.045220055614868,0.957385893417264,0.001853789595862,0.044873825733036,0.957385885761065,0.001853789595739,0.041175496578745,0.957385911993472,0.001853789566474,0.089999962821484,0.957385902619948,0.001853789566474,0.045220055592427,0.957385893455249,0.001853789566474,0.044873825724248,0.957385884708201,0.001853789566474,0.041175496575608,0.957385877214104,0.001853789566474,0.044015860856772
