t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4
7.505,-0.833985442344063,-0.898859434379804,1.45960569257551,0.98846514734003,-0.099990463834413,0.113404813515499,0.008826539900132,0.809593532371533,0.586473546233344,-0.14579512312266,0.319205088345204,-0.408254606238133,-0.055550371074969,0.176661457509706,0.159026016078173,-0.003520997678238,-0.001511713813649,-0.001180326474573,-4.07599333313835E-10,2.55000002530755,2.55000001949641,2.54999999259116,2.55000000401052,0.973781921680951,0.001453320522773,0.089999993546742,0.973781912307428,0.001453320522773,0.04498115911046,0.973781903142729,0.001453320522773,0.045025614375391,0.97378189439568,0.001453320522773,0.01712187155115,0.973781886901584,0.001453320522773,0.043638706508615
7.88025,-0.808694388539814,-0.880362977120643,1.45520855817567,0.989615466097853,-0.09529923020438,0.107303850403825,0.008072767168366,0.875885744960114,0.64614805935905,-0.147116377514535,0.318637817731,-0.408697523752114,-0.055550371227921,0.167178924091272,0.1514184559815,7.45242125882986E-05,-0.001513364855181,-0.001178212165107,1.14526578658829E-09,2.55000002530304,2.55000001859311,2.55000001247048,2.5500000034225,0.972293635953928,0.001488285727023,0.089999994201206,0.972293626580404,0.001488285727023,0.044979009327598,0.972293617415705,0.001488285727023,0.04503053680309,0.972293608668657,0.001488285727023,0.021570800549182,0.97229360117456,0.001488285727023,0.043552240387944
8.2555,-0.781467881315153,-0.86011909855791,1.45079220229911,0.990705199649742,-0.090610543429886,0.101189691248782,0.007320047140418,0.938619636848106,0.702967835530141,-0.147088412303484,0.318069927563457,-0.409139647871459,-0.05555037079816,0.157631650269473,0.143804427423044,0.003480008635084,-0.001515003475903,-0.001176105267685,1.71385309674848E-09,2.55000002529775,2.55000001749974,2.55000001826169,2.55000000247851,0.970766005492747,0.001527630461181,0.089999994899094,0.970765996119223,0.001527630461181,0.044976830174,0.970765986954524,0.001527630461181,0.045036445177694,0.970765978207476,0.001527630461181,0.026059572692093,0.970765970713379,0.001527630461181,0.043453465119453
8.63075,-0.752413036939609,-0.838213479002117,1.44639603268496,0.991734278681175,-0.08592471361972,0.09506272062999,0.006568342513545,0.997770914198903,0.75693044745631,-0.145782539050205,0.317501422503481,-0.409580981377539,-0.055550370155036,0.148022033003531,0.136185842025594,0.006694601482698,-0.00151663707035,-0.001173998402404,2.09377694092927E-09,2.55000002529163,2.55000001616469,2.5500000208184,2.55000000113672,0.969194382043689,0.001571623449058,0.089999995631643,0.969194372670165,0.001571623449058,0.044974671546857,0.969194363505466,0.001571623449058,0.04504356401656,0.969194354758418,0.001571623449058,0.030154532809578,0.969194347264321,0.001571623449058,0.043341715464522
9.006,-0.721637687020833,-0.814731860823681,1.44205731287308,0.992702637714815,-0.081242050137757,0.088923324321739,0.005817615824586,1.05331618263486,0.808034185183707,-0.143270389818886,0.316932304437182,-0.410021524282414,-0.055550369369347,0.138352484714844,0.128564612384572,0.009717495909107,-0.001518267036977,-0.00117189018451,2.44427604753196E-09,2.55000002528459,2.55000001451919,2.55000002218931,2.54999999932351,0.967573804403517,0.001620577640172,0.089999996390232,0.967573795029993,0.001620577640172,0.04497260117688,0.967573785865294,0.001620577640172,0.045052171985749,0.967573777118246,0.001620577640172,0.03355318037502,0.967573769624149,0.001620577640172,0.043216702061572
9.38125,-0.689250351433275,-0.789760026926949,1.43781115285484,0.993610215109037,-0.076562861606344,0.082771889292353,0.005067829460603,1.10523295303947,0.856278056459921,-0.139623899442796,0.316362574725901,-0.410461276078517,-0.055550368452132,0.128625432834889,0.120942651728403,0.012547933083086,-0.001519893825533,-0.001169780198166,2.82703523190837E-09,2.55000002527653,2.55000001247066,2.55000002301503,2.54999999692325,0.965898950268663,0.001674854134855,0.089999997166509,0.965898940895138,0.001674854134855,0.044970709756594,0.96589893173044,0.001674854134855,0.045062617171464,0.965898922983391,0.001674854134855,0.036188110140628,0.965898915489294,0.001674854134855,0.043078807988038
9.7565,-0.655360211075294,-0.763383779215147,1.43369050026008,0.994456953060736,-0.071887455890558,0.076608803684093,0.004318945667219,1.15349964718989,0.901661786971515,-0.134915287506627,0.315792234562208,-0.410900236102236,-0.055550367391287,0.118843319218922,0.113321873459862,0.015185202452375,-0.001521517642522,-0.001167668306256,3.28272053551156E-09,2.55000002526734,2.55000000989314,2.5500000235529,2.54999999375961,0.964164083376657,0.001734866892006,0.089999997952491,0.964164074003133,0.001734866892006,0.04496911748915,0.964164064838434,0.001734866892006,0.045075337846346,0.964164056091385,0.001734866892006,0.038161163862582,0.964164048597289,0.001734866892006,0.042929495747635
10.1318,-0.620077080460595,-0.735688917050785,1.42972613208617,0.995242797608697,-0.06721614007925,0.070434456789474,0.003570926556616,1.19809560316948,0.944185820409452,-0.129217040229808,0.315221285061184,-0.411338403638508,-0.055550366159446,0.109008599538782,0.105704190681729,0.017628641936192,-0.001523138632793,-0.001165554495918,3.85231422104305E-09,2.55000002525689,2.5500000066136,2.55000002392371,2.54999998956236,0.962362995078495,0.001801088298161,0.089999998740656,0.962362985704972,0.001801088298161,0.04496798243778,0.962362976540273,0.001801088298161,0.045090891279195,0.962362967793224,0.001801088298161,0.039626142730689,0.962362960299128,0.001801088298161,0.042771816984644
10.507,-0.583511380150697,-0.706761215716764,1.42594664697164,0.995967698636956,-0.062549220465329,0.064249239026372,0.002823734115482,1.23900108055247,0.983851318356519,-0.122601892277586,0.314649727283555,-0.411775777967443,-0.055550364713865,0.099123742667904,0.098091515719,0.019877638090682,-0.001524756960671,-0.001163438852096,4.58860872417974E-09,2.55000002524499,2.55000000239232,2.55000002419055,2.54999998390779,0.960488939384438,0.001874055694058,0.089999999524019,0.960488930010913,0.001874055694058,0.044967511170644,0.960488920846214,0.001874055694058,0.045109994637189,0.960488912099166,0.001874055694058,0.040721436748263,0.960488904605069,0.001874055694058,0.042610964897574
10.8823,-0.545774109035315,-0.676686404883549,1.42237845801641,0.996631609877991,-0.057887002526014,0.058053541912411,0.00207733021302,1.27619726535783,1.02066015999546,-0.115142808510013,0.314077562228384,-0.412212358401026,-0.05555036299199,0.089191230061131,0.090485759640512,0.021931626253807,-0.001526372888208,-0.001161321594383,5.56854945252678E-09,2.55000002523145,2.54999999689552,2.55000002438917,2.54999997610649,0.958534560410975,0.001954378973463,0.090000000296194,0.958534551037451,0.001954378973463,0.044967972356575,0.958534541872752,0.001954378973463,0.045133584599236,0.958534533125703,0.001954378973463,0.041552100799061,0.958534525631607,0.001954378973463,0.0424547215959
11.2575,-0.506976816467617,-0.645550147087793,1.41904578615041,0.99723448891571,-0.053229790903515,0.051847758038602,0.001331676609101,1.30966627477051,1.05461494163763,-0.106912965676577,0.313504790796398,-0.412648144333644,-0.055550360902392,0.07921355512962,0.08288883178124,0.023790090667055,-0.001527986911477,-0.001159203194965,6.91314496374498E-09,2.55000002521603,2.54999998965849,2.55000002454105,2.54999996497947,0.956491811022037,0.002042749388938,0.090000001051438,0.956491801648513,0.002042749388938,0.044969714203267,0.956491792483814,0.002042749388938,0.04516290684858,0.956491783736765,0.002042749388938,0.042193007814912,0.956491776242669,0.002042749388938,0.042313544497834
11.6328,-0.46723157426136,-0.613438016227794,1.41597065405202,0.997776297188184,-0.048577889386718,0.04563228104181,0.000586734962686,1.33939116162797,1.0857189760723,-0.097985734065146,0.312931413702174,-0.413083135336873,-0.055550358308234,0.0691932226098,0.075302639266495,0.025452564562934,-0.001529600063726,-0.001157084672244,8.82634111741506E-09,2.55000002519843,2.54999998004084,2.5500000246598,2.54999994837429,0.954351861301594,0.002139949720443,0.090000001784687,0.95435185192807,0.002139949720443,0.044973186992255,0.954351842763371,0.002139949720443,0.045199654981856,0.954351834016323,0.002139949720443,0.042696606880768,0.954351826522226,0.002139949720443,0.042199967636078
12.008,-0.426650948556973,-0.580435476081151,1.41317288061755,0.998256999990124,-0.043931600895151,0.039407505574889,-0.00015753315928,1.36535591867004,1.11397629173755,-0.088434659118095,0.312357431272564,-0.413517331364442,-0.055550354996149,0.05913274792306,0.067729086540181,0.026918630186275,-0.001531214677453,-0.001154968346242,1.1682353003556E-08,2.55000002517829,2.54999996718534,2.55000002475436,2.54999992200786,0.952104995316492,0.002246865985102,0.090000002491568,0.952104985942968,0.002246865985102,0.044978972547921,0.952104976778269,0.002246865985102,0.045246194468582,0.95210496803122,0.002246865985102,0.043099802408811,0.952104960537124,0.002246865985102,0.042127075222956
12.3833,-0.385347971563737,-0.546627858849959,1.4106700759824,0.998676566475038,-0.039291227468199,0.033173827271558,-0.000901166272005,1.38754548254844,1.13939163171405,-0.078333443040423,0.311782842959145,-0.413950733240672,-0.055550350612346,0.049034656516437,0.060170074901481,0.028187918645119,-0.001532836545415,-0.001152859991304,1.62562743315679E-08,2.55000002515518,2.54999995001811,2.55000002483082,2.5499998762951,0.949740494426675,0.002364500889817,0.09000000316841,0.949740485053151,0.002364500889817,0.044987823450518,0.949740475888452,0.002364500889817,0.04530593992203,0.949740467141404,0.002364500889817,0.043428982678843,0.949740459647307,0.002364500889817,0.042106132460708
12.7585,-0.343436113185377,-0.512100343738829,1.40847763709314,0.999034969656961,-0.034657070267834,0.026931642697873,-0.001644202960835,1.40594573758889,1.16197045254496,-0.067755926463843,0.311207646039768,-0.414383343956703,-0.055550344512179,0.038901483153074,0.052627502058822,0.029260109170513,-0.001534482189205,-0.001150776085662,2.44801138213622E-08,2.55000002512854,2.5499999273837,2.55000002489344,2.54999978581231,0.947246505174829,0.002493989251847,0.090000003812232,0.947246495801305,0.002493989251847,0.045000716479983,0.947246486636606,0.002493989251847,0.045384024343777,0.947246477889557,0.002493989251847,0.043703491623774,0.947246470395461,0.002493989251847,0.042143974413354
13.1338,-0.301029252536727,-0.476937935570876,1.40660874382546,0.999332186411369,-0.030029429621463,0.020681349264008,-0.002386681863461,1.42054351928699,1.18171892288857,-0.056776070388614,0.310631831592554,-0.414815172687135,-0.055550335326017,0.028735771024605,0.045103261707509,0.03013492545021,-0.00153621135632,-0.001148776240413,4.2846167394229E-08,2.55000002509772,2.54999989848975,2.55000002494528,2.54999956202568,0.944609889539907,0.002636615634922,0.090000004420728,0.944609880166383,0.002636615634922,0.045018927749432,0.944609871001684,0.002636615634922,0.045488562863004,0.944609862254636,0.002636615634922,0.043938025536405,0.944609854760539,0.002636615634922,0.042241149939826
